,Borough,Neighborhood,latitude,longitude
0,North West Delhi,Adarsh Nagar,28.6141925,77.0715411848447
1,North West Delhi,Ashok Vihar,28.6994533,77.1848256
2,North West Delhi,Azadpur,28.7076568,77.1755473
3,North West Delhi,Bawana,28.79966,77.0328847
4,North West Delhi,Begum Pur,28.725503,77.0583706
5,North West Delhi,Dhaka,28.70869755,77.20574900932183
6,North West Delhi,Jahangirpuri,28.7259717,77.162658
7,North West Delhi,Karala,28.73514,77.0325105
8,North West Delhi,Keshav Puram,28.6889264,77.1616833
9,North West Delhi,Kingsway Camp,28.613749,77.2121334
10,North West Delhi,Kohat Enclave,28.6980415,77.1405393
11,North West Delhi,Model Town,28.7027136,77.1939912
12,North West Delhi,Narela,28.8426096,77.0918354
13,North West Delhi,Pitam Pura,28.7032676,77.1322497
14,North West Delhi,Rani Bagh,28.6859821,77.13252446991615
15,North West Delhi,Rithala,28.7208064,77.1071813
17,North West Delhi,Shalimar Bagh,28.71745265,77.15086654617409
18,North Delhi,Shakti Nagar,28.67979,77.1949142
19,North Delhi,Bara Hindu Rao,28.6595181,77.20501
20,North Delhi,Chandni Chowk,28.6560969,77.2354361
21,North Delhi,Chawri Bazaar,28.6492649,77.2265153
22,North Delhi,Civil Lines,28.6768508,77.2250299
23,North Delhi,Dariba Kalan,28.6546024,77.2333794
25,North Delhi,Gulabi Bagh,28.6516214,77.1139354
26,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055
27,North Delhi,Kashmiri Gate,28.6699765,77.2320588
28,North Delhi,Kotwali,28.6517178,77.2219388
29,North Delhi,Lahori Gate,28.65578895,77.23871982406355
30,North Delhi,Nehru Vihar,28.7107447,77.22117437672333
31,North Delhi,Pratap Nagar,28.6667177,77.1988974
32,North Delhi,Pul Bangash,28.6663751,77.20752911898111
33,North Delhi,Roshanara Bagh,28.67371835,77.19931977973923
34,North Delhi,Sadar Bazaar,28.6609052,77.2277153
35,North Delhi,Sant Nagar,28.64641805,77.09118835556896
36,North Delhi,Sarai Kale Khan,28.5866263,77.25622817914692
37,North Delhi,Sarai Rohilla,28.66100315,77.20151396783757
38,North Delhi,Shastri Nagar,28.6700885,77.1818589
40,North Delhi,Timarpur,28.70126285,77.21867953631201
41,North Delhi,Wazirabad,28.7140117,77.22993962505592
42,North East Delhi,Babarpur,28.6874305,77.2797551
43,North East Delhi,Dilshad Garden,28.6758257,77.3215163
44,North East Delhi,Kabir Nagar,28.6926703,77.28354434635405
45,North East Delhi,Mandoli,28.6813364,77.2952427
46,North East Delhi,Maujpur,28.6920781,77.2796973
47,North East Delhi,Nand Nagri,28.697808950000002,77.30570107600471
49,North East Delhi,Sadatpur,28.6738866,77.1357541
50,North East Delhi,Shahdara,28.6733333,77.2890248
51,North East Delhi,Sonia Vihar,28.7199257,77.2481823
52,North East Delhi,Shastri Park,28.6684339,77.2505301
53,North East Delhi,Yamuna Vihar,28.700372,77.2727728
54,Central Delhi,Daryaganj,28.64609,77.243048
55,Central Delhi,Jhandewalan,28.6443188,77.1999165
56,Central Delhi,Karol Bagh,28.6529982,77.1890227
57,Central Delhi,Paharganj,28.6414989,77.2140607
59,New Delhi,Barakhamba Road,28.6273988,77.2288941
60,New Delhi,Chanakyapuri,28.5946775,77.1885212
61,New Delhi,Connaught Place,28.6313827,77.2197924
62,New Delhi,Gautampuri,28.5115704,77.3026233
63,New Delhi,Gole Market,28.63371865,77.20562662098214
64,New Delhi,Golf Links,28.5959698,77.2311628
65,New Delhi,INA Colony,28.577385,77.2125524
66,New Delhi,Khan Market,28.6001354,77.22649064087364
67,New Delhi,Laxmibai Nagar,28.5754186,77.2051091
68,New Delhi,Pragati Maidan,28.61684535,77.24534605191812
69,East Delhi,Brij Puri,28.7025095,77.2737771
70,East Delhi,East Vinod Nagar,28.6227661,77.3075035
71,East Delhi,Gandhi Nagar,28.65572225,77.26881315341399
72,East Delhi,Geeta Colony,28.64980715,77.27604869990085
73,East Delhi,Jhilmil Colony,28.6698142,77.3072827
74,East Delhi,Krishna Nagar,28.563701700000003,77.19340976494976
75,East Delhi,Laxmi Nagar,28.6305526,77.277575
76,East Delhi,Mayur Vihar,28.6133497,77.2955378
77,East Delhi,Pandav Nagar,28.6179549,77.2867473
78,East Delhi,Patparganj,28.6115923,77.2905644
79,East Delhi,Preet Vihar,28.63701535,77.29298973138603
80,East Delhi,Anand Vihar,28.61863475,77.00949860152832
81,East Delhi,Shakarpur,28.62948875,77.28106072967365
83,East Delhi,Vasundhara Enclave,28.60172565,77.3211224956397
84,East Delhi,Vishwas Nagar,28.66447005,77.29174139182146
85,East Delhi,Vivek Vihar,28.6691641,77.31226695421603
