,Borough,Neighborhood,latitude,longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,North West Delhi,Adarsh Nagar,28.6141925,77.0715411848447,2.0,Indian Restaurant,Fast Food Restaurant,Dhaba,Diner,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
1,North West Delhi,Ashok Vihar,28.6994533,77.1848256,0.0,Indian Restaurant,Athletics & Sports,Bakery,Smoke Shop,Diner,Hotel Bar,Donut Shop,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant
2,North West Delhi,Azadpur,28.7076568,77.1755473,0.0,Pool Hall,Bus Station,Restaurant,Women's Store,Food Truck,Food Court,Food & Drink Shop,Food,Flower Shop,Flea Market
3,North West Delhi,Bawana,28.79966,77.0328847,1.0,ATM,Playground,Fast Food Restaurant,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food,Flower Shop
5,North West Delhi,Dhaka,28.70869755,77.20574900932183,0.0,Furniture / Home Store,Diner,Train Station,Pizza Place,Fast Food Restaurant,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
6,North West Delhi,Jahangirpuri,28.7259717,77.162658,0.0,Light Rail Station,Women's Store,Flower Shop,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
8,North West Delhi,Keshav Puram,28.6889264,77.1616833,0.0,Indian Restaurant,Bakery,Gastropub,Food Truck,Café,Basketball Court,Department Store,Art Gallery,Garden Center,Furniture / Home Store
9,North West Delhi,Kingsway Camp,28.613749,77.2121334,0.0,Music Venue,Art Gallery,Government Building,Women's Store,Flea Market,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop
10,North West Delhi,Kohat Enclave,28.6980415,77.1405393,0.0,Indian Restaurant,Snack Place,Food,ATM,Train Station,IT Services,French Restaurant,Food Truck,Food Court,Food & Drink Shop
11,North West Delhi,Model Town,28.7027136,77.1939912,0.0,Pizza Place,Donut Shop,Convenience Store,Snack Place,Men's Store,Food Truck,Fast Food Restaurant,Frozen Yogurt Shop,Lake,Light Rail Station
12,North West Delhi,Narela,28.8426096,77.0918354,1.0,ATM,Men's Store,Flower Shop,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
13,North West Delhi,Pitam Pura,28.7032676,77.1322497,0.0,Women's Store,Park,Metro Station,Market,Flower Shop,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop
