,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
0,North West Delhi,Adarsh Nagar,28.6141925,77.0715411848447,Bikanerwala,28.61339089253902,77.07608403328531,Indian Restaurant
1,North West Delhi,Adarsh Nagar,28.6141925,77.0715411848447,McDonald's,28.61632984767444,77.06703429642255,Fast Food Restaurant
2,North West Delhi,Ashok Vihar,28.6994533,77.1848256,SNAP FITNESS 24×7 GYM,28.7001802382659,77.18458204068848,Athletics & Sports
3,North West Delhi,Ashok Vihar,28.6994533,77.1848256,Grand Plaza,28.69657730583533,77.18524530855996,Hotel Bar
4,North West Delhi,Ashok Vihar,28.6994533,77.1848256,Bakers Stop,28.700494682046667,77.1887157051342,Bakery
5,North West Delhi,Ashok Vihar,28.6994533,77.1848256,Invitation Banquet,28.696018214387546,77.18595287338057,Diner
6,North West Delhi,Ashok Vihar,28.6994533,77.1848256,Tapri Opposite Shanti Royal,28.696779812353792,77.18771053598647,Smoke Shop
7,North West Delhi,Ashok Vihar,28.6994533,77.1848256,Gola Northend,28.70124229892223,77.18928847927491,Indian Restaurant
8,North West Delhi,Azadpur,28.7076568,77.1755473,Azadpur,28.70866887677249,77.17910167163504,Bus Station
9,North West Delhi,Azadpur,28.7076568,77.1755473,Cues N Ball,28.71126,77.17668,Pool Hall
10,North West Delhi,Azadpur,28.7076568,77.1755473,Tulip Banquet,28.704523114843575,77.17244102614772,Restaurant
11,North West Delhi,Bawana,28.79966,77.0328847,Axis Bank ATM,28.8007,77.0366,ATM
12,North West Delhi,Bawana,28.79966,77.0328847,Rajiv Gandhi Stadium,28.80181126364969,77.02875137329102,Playground
13,North West Delhi,Dhaka,28.70869755,77.20574900932183,Pizza Hut,28.70699614936645,77.20462319719917,Pizza Place
14,North West Delhi,Dhaka,28.70869755,77.20574900932183,Gtb Nagar Railway Station,28.707183121238955,77.20675676115992,Train Station
15,North West Delhi,Dhaka,28.70869755,77.20574900932183,Golden Interio,28.709900105188545,77.20274226023862,Furniture / Home Store
16,North West Delhi,Dhaka,28.70869755,77.20574900932183,Pit Stop,28.704776,77.205307,Diner
17,North West Delhi,Jahangirpuri,28.7259717,77.162658,Jahangirpuri Metro Station | जहांगीरपुरी,28.726025752225787,77.16262578964233,Light Rail Station
18,North West Delhi,Keshav Puram,28.6889264,77.1616833,F - Block Market,28.689744487564482,77.16313459209786,Department Store
19,North West Delhi,Keshav Puram,28.6889264,77.1616833,Major Dhyanchand Sports Complex.,28.689481966742875,77.16352775733044,Basketball Court
