,Borough,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,North West Delhi,Adarsh Nagar,2.0,Indian Restaurant,Fast Food Restaurant,Dhaba,Diner,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
27,North Delhi,Kashmiri Gate,2.0,Metro Station,Pizza Place,Bus Station,Lake,Fast Food Restaurant,Flea Market,American Restaurant,Fabric Shop,Electronics Store,Farm
29,North Delhi,Lahori Gate,2.0,Monument / Landmark,Historic Site,Museum,Fast Food Restaurant,Women's Store,Flea Market,French Restaurant,Food Truck,Food Court,Food & Drink Shop
32,North Delhi,Pul Bangash,2.0,Indian Restaurant,Metro Station,Fast Food Restaurant,Flower Shop,Frozen Yogurt Shop,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop
34,North Delhi,Sadar Bazaar,2.0,Fast Food Restaurant,Boutique,Train Station,Restaurant,Historic Site,Women's Store,Food Truck,Food Court,Food & Drink Shop,Food
49,North East Delhi,Sadatpur,2.0,Fast Food Restaurant,Bakery,Breakfast Spot,Sandwich Place,Pizza Place,Bar,Women's Store,Food,French Restaurant,Food Truck
79,East Delhi,Preet Vihar,2.0,Fast Food Restaurant,Pizza Place,Coffee Shop,Chinese Restaurant,BBQ Joint,Flea Market,Fried Chicken Joint,French Restaurant,Food Truck,Food Court
99,South Delhi,Jangpura,2.0,Fast Food Restaurant,BBQ Joint,Food,Hotel,Metro Station,Sandwich Place,Indie Movie Theater,Snack Place,Market,Chinese Restaurant
100,South Delhi,Jasola,2.0,Indian Restaurant,Soccer Field,Soccer Stadium,Bakery,Fast Food Restaurant,Flower Shop,Fried Chicken Joint,French Restaurant,Food Truck,Food Court
119,South Delhi,Safdarjung Enclave,2.0,Hotel,Fast Food Restaurant,Snack Place,French Restaurant,Fried Chicken Joint,Food Truck,Food Court,Food & Drink Shop,Food,Flower Shop
128,South Delhi,Sriniwaspuri,2.0,Fast Food Restaurant,Wine Bar,Pizza Place,Lawyer,Flea Market,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop
149,South West Delhi,Sarojini Nagar,2.0,Indian Restaurant,Fast Food Restaurant,Shopping Mall,Dessert Shop,Market,Pizza Place,Restaurant,Women's Store,Theater,Farm
153,West Delhi,Ashok Nagar,2.0,Fast Food Restaurant,Indian Restaurant,Breakfast Spot,Sandwich Place,Restaurant,North Indian Restaurant,Electronics Store,Fabric Shop,Farm,Farmers Market
157,West Delhi,Kirti Nagar,2.0,Fast Food Restaurant,Pizza Place,Women's Store,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food,Flower Shop
164,West Delhi,Punjabi Bagh,2.0,Fast Food Restaurant,Garden Center,Sandwich Place,Pizza Place,Bar,Gym / Fitness Center,Bakery,Flower Shop,Food Truck,Food Court
166,West Delhi,Shivaji Place,2.0,Fast Food Restaurant,Indian Restaurant,Café,Snack Place,Hookah Bar,Lounge,Garden,Multiplex,Diner,Nightclub
168,West Delhi,Tilak Nagar,2.0,Fast Food Restaurant,Electronics Store,Restaurant,Flea Market,Fried Chicken Joint,French Restaurant,Food Truck,Food Court,Food & Drink Shop,Food
